serial_no,floor_level,zone_id,Date,Month,ta,lux,spl
40A249A8,28,50,2019/10/5,10,26.41,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.43,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,26.42,0,44
40A249A8,28,50,2019/10/5,10,25.08,0,44
40A249A8,28,50,2019/10/5,10,26.41,0,44
40A249A8,28,50,2019/10/5,10,26.41,0,44
40A249A8,28,50,2019/10/5,10,26.39,0,44
40A249A8,28,50,2019/10/5,10,26.38,0,44
40A249A8,28,50,2019/10/5,10,26.37,0,44
40A249A8,28,50,2019/10/5,10,26.36,0,44
40A249A8,28,50,2019/10/5,10,26.36,0,44
40A249A8,28,50,2019/10/5,10,26.36,0,44
40A249A8,28,50,2019/10/5,10,26.35,0,44
40A249A8,28,50,2019/10/5,10,26.33,0,44
40A249A8,28,50,2019/10/5,10,26.34,0,44
40A249A8,28,50,2019/10/5,10,26.33,0,44
40A249A8,28,50,2019/10/5,10,26.33,0,44
40A249A8,28,50,2019/10/5,10,26.32,0,44
40A249A8,28,50,2019/10/5,10,26.31,0,44
40A249A8,28,50,2019/10/5,10,26.29,0,44
40A249A8,28,50,2019/10/5,10,26.28,0,44
40A249A8,28,50,2019/10/5,10,26.28,0,44
40A249A8,28,50,2019/10/5,10,26.29,0,44
40A249A8,28,50,2019/10/5,10,26.29,0,44
40A249A8,28,50,2019/10/5,10,26.28,0,44
40A249A8,28,50,2019/10/5,10,26.29,0,44
40A249A8,28,50,2019/10/5,10,26.27,0,44
40A249A8,28,50,2019/10/5,10,26.25,0,44
40A249A8,28,50,2019/10/5,10,26.24,0,44
40A249A8,28,50,2019/10/5,10,26.24,0,43
40A249A8,28,50,2019/10/5,10,26.25,0,43
40A249A8,28,50,2019/10/5,10,26.24,0,44
40A249A8,28,50,2019/10/5,10,26.23,0,43
40A249A8,28,50,2019/10/5,10,26.22,0,44
40A249A8,28,50,2019/10/5,10,26.21,0,44
40A249A8,28,50,2019/10/5,10,26.21,0,44
40A249A8,28,50,2019/10/5,10,26.19,0,44
40A249A8,28,50,2019/10/5,10,26.19,0,44
40A249A8,28,50,2019/10/5,10,26.17,0,44
40A249A8,28,50,2019/10/5,10,26.15,0,44
40A249A8,28,50,2019/10/5,10,26.14,0,44
40A249A8,28,50,2019/10/5,10,26.13,0,44
40A249A8,28,50,2019/10/5,10,26.11,0,44
40A249A8,28,50,2019/10/5,10,26.08,0,44
40A249A8,28,50,2019/10/5,10,26.07,0,44
40A249A8,28,50,2019/10/5,10,26.06,0,44
40A249A8,28,50,2019/10/5,10,26.04,0,44
40A249A8,28,50,2019/10/5,10,26.03,0,44
40A249A8,28,50,2019/10/5,10,26.02,0,44
40A249A8,28,50,2019/10/5,10,25.98,0,44
40A249A8,28,50,2019/10/5,10,25.96,0,44
40A249A8,28,50,2019/10/5,10,25.94,0,44
